constructorId,constructorRef,name,nationality,url,hexColor
171,cooper-castellotti,Cooper-Castellotti,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,#9C9CFF
172,lotus-climax,Lotus-Climax,British,http://en.wikipedia.org/wiki/Team_Lotus,#1C5637
173,lotus-maserati,Lotus-Maserati,British,http://en.wikipedia.org/wiki/Team_Lotus,#1C5637
174,de_tomaso-osca,De Tomaso-Osca,Italian,http://en.wikipedia.org/wiki/De_Tomaso,#A5DBF6
175,de_tomaso-alfa_romeo,De Tomaso-Alfa Romeo,Italian,http://en.wikipedia.org/wiki/De_Tomaso,#A5DBF6
176,lotus-brm,Lotus-BRM,British,http://en.wikipedia.org/wiki/Team_Lotus,#1C5637
177,lotus-borgward,Lotus-Borgward,British,http://en.wikipedia.org/wiki/Team_Lotus,#1C5637
178,cooper-alfa_romeo,Cooper-Alfa Romeo,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,#9C9CFF
179,de_tomaso-ferrari,De Tomaso-Ferrari,Italian,http://en.wikipedia.org/wiki/De_Tomaso,#A5DBF6
180,lotus-ford,Lotus-Ford,British,http://en.wikipedia.org/wiki/Team_Lotus,#1C5637
181,brabham-brm,Brabham-BRM,British,http://en.wikipedia.org/wiki/Brabham,#004626
182,brabham-ford,Brabham-Ford,British,http://en.wikipedia.org/wiki/Brabham,#004626
183,brabham-climax,Brabham-Climax,British,http://en.wikipedia.org/wiki/Brabham,#004626
184,lds-climax,LDS-Climax,South African,http://en.wikipedia.org/wiki/LDS_(automobile),#0084C6
185,lds-alfa_romeo,LDS-Alfa Romeo,South African,http://en.wikipedia.org/wiki/LDS_(automobile),#0084C6
186,cooper-ford,Cooper-Ford,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,#9C9CFF
187,mclaren-ford,McLaren-Ford,British,http://en.wikipedia.org/wiki/Team_McLaren,#FF9900
188,mclaren-seren,McLaren-Serenissima,British,http://en.wikipedia.org/wiki/Team_McLaren,#FF9900
189,eagle-climax,Eagle-Climax,American,http://en.wikipedia.org/wiki/Anglo_American_Racers,#003876
190,eagle-weslake,Eagle-Weslake,American,http://en.wikipedia.org/wiki/Anglo_American_Racers,#003876
191,brabham-repco,Brabham-Repco,British,http://en.wikipedia.org/wiki/Brabham,#004626
192,cooper-ferrari,Cooper-Ferrari,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,#9C9CFF
193,cooper-ats,Cooper-ATS,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,#9C9CFF
194,mclaren-brm,McLaren-BRM,British,http://en.wikipedia.org/wiki/McLaren_(racing),#FF9900
195,cooper-brm,Cooper-BRM,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,#9C9CFF
196,matra-ford,Matra-Ford,French,http://en.wikipedia.org/wiki/Matra,#0021AD
197,brm-ford,BRM-Ford,British,http://en.wikipedia.org/wiki/BRM,#004225
198,mclaren-alfa_romeo,McLaren-Alfa Romeo,British,http://en.wikipedia.org/wiki/McLaren_(racing),#FF9900
199,march-alfa_romeo,March-Alfa Romeo,British,http://en.wikipedia.org/wiki/March_Engineering,#DD1B13
200,march-ford,March-Ford,British,http://en.wikipedia.org/wiki/March_Engineering,#DD1B13
201,lotus-pw,Lotus-Pratt &amp; Whitney,British,http://en.wikipedia.org/wiki/Team_Lotus,#1C5637
202,shadow-ford,Shadow-Ford,British,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,#000000
203,shadow-matra,Shadow-Matra,British,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,#000000
204,brabham-alfa_romeo,Brabham-Alfa Romeo,British,http://en.wikipedia.org/wiki/Brabham,#004626
205,lotus_racing,Lotus,Malaysian,http://en.wikipedia.org/wiki/Lotus_Racing,#1C5637
206,marussia,Marussia,Russian,http://en.wikipedia.org/wiki/Marussia_F1,#FF3D21
207,caterham,Caterham,Malaysian,http://en.wikipedia.org/wiki/Caterham_F1,#85CE26
208,lotus_f1,Lotus F1,British,http://en.wikipedia.org/wiki/Lotus_F1,#1C5637
209,manor,Manor Marussia,British,http://en.wikipedia.org/wiki/Manor_Motorsport,#CA0B04
210,haas,Haas F1 Team,American,http://en.wikipedia.org/wiki/Haas_F1_Team,#DB2415
211,racing_point,Racing Point,British,http://en.wikipedia.org/wiki/Racing_Point_F1_Team,#F363B9
213,alphatauri,AlphaTauri,Italian,http://en.wikipedia.org/wiki/Scuderia_AlphaTauri,#0B0830
214,alpine,Alpine F1 Team,French,http://en.wikipedia.org/wiki/Alpine_F1_Team,#0064BF
